číslo,název,kandidátnílistina,poř.číslo,věk,navrh.strana,polit.přísl.,pořadí,mandát,"příjmení, jméno",tituly,abs.,v %


2,občanská demokratická strana,6,banková jaromíra,mudr. ,51,ods,ods,1 311,11.18,3, 
2,občanská demokratická strana,9,benedikt jaromír,ing. ,33,ods,ods,1 151,9.81,6, 
1,komunistická str.čech a moravy,3,blaťáková jarmila,paeddr. ,53,ksčm,bezpp,701,11.62,1, 
2,občanská demokratická strana,8,brom miloš, ,71,ods,ods,1 183,10.09,5, 
8,česká str.sociálně demokrat.,9,bršťáková jana, ,20,čssd,čssd,811,9.31,7, 
11,unie svobody-demokratická unie,3,buriánek michal,rndr. ,44,us-deu,us-deu,373,13.03, , 
1,komunistická str.čech a moravy,4,černáš pavel, ,19,ksčm,ksčm,667,11.05,2, 
3,olomouc 21-sos a nez.ob.inic.,8,dočekalová vladimíra, ,50,sos,sos,209,8.14, , 
4,naděje a hnutí obč. sebeobr.,9,dohnal jan, ,76,nk,bezpp,195,7.65, , 
10,křesť.demokr.unie-čs.str.lid.,1,dostál jan,ing. ,41,kdu-čsl,kdu-čsl,655,14.09,1,*
6,nezávislí,2,drozda vladimír,phdr. ,63,nez,bezpp,221,11.19, , 
7,"blok pro obč.-koalice rms,sžj",1,dufek jiří, ,50,rms,rms,28,22.22, , 
4,naděje a hnutí obč. sebeobr.,3,erdös pavel,mudr. ,46,nk,bezpp,371,14.57, , 
8,česká str.sociálně demokrat.,4,fürst dušan,ing. ,53,čssd,čssd,971,11.15,2, 
2,občanská demokratická strana,4,hašková magda, ,44,ods,ods,1 325,11.30,2, 
6,nezávislí,6,hauerová ivana, ,43,nez,bezpp,174,8.81, , 
5,strana zelených a šance pro ol,5,hegrová květoslava,mgr. ,70,nk,bezpp,402,9.48,4, 
10,křesť.demokr.unie-čs.str.lid.,5,hejnar petr,mudr. ,36,kdu-čsl,kdu-čsl,534,11.49,4, 
11,unie svobody-demokratická unie,7,hofmannová tereza,mgr. ,25,us-deu,us-deu,250,8.73, , 
4,naděje a hnutí obč. sebeobr.,1,jelínek jan,rndr. ,61,nk,bezpp,456,17.91, , 
7,"blok pro obč.-koalice rms,sžj",4,jelínek jiří, ,30,rms,bezpp,20,15.87, , 
3,olomouc 21-sos a nez.ob.inic.,3,jeništová ivana, ,54,nk,bezpp,421,16.40, , 
1,komunistická str.čech a moravy,6,ježová marie, ,61,ksčm,ksčm,645,10.69,4, 
8,česká str.sociálně demokrat.,5,knap miloš,ing ,36,čssd,čssd,950,10.91,3, 
10,křesť.demokr.unie-čs.str.lid.,8,kolář pavel,ing. ,44,kdu-čsl,kdu-čsl,447,9.62,7, 
5,strana zelených a šance pro ol,8,kotyza martin,mgr. ,34,nk,bezpp,390,9.19,7, 
7,"blok pro obč.-koalice rms,sžj",5,kozáková kateřina, ,25,sžj,bezpp,27,21.42, , 
5,strana zelených a šance pro ol,6,kraus radoslav, ,31,nk,bezpp,374,8.82,5, 
8,česká str.sociálně demokrat.,3,krček antonín, ,54,čssd,čssd,1 008,11.58,1, 
1,komunistická str.čech a moravy,2,kropáček antonín,ing. ,39,ksčm,ksčm,706,11.70,2,*
1,komunistická str.čech a moravy,7,kroupa josef, ,56,ksčm,bezpp,646,10.70,5, 
5,strana zelených a šance pro ol,1,kubešová irena marie,mgr.. ,33,nk,bezpp,698,16.46,1, 
8,česká str.sociálně demokrat.,2,kubjátová yvona, ,33,čssd,čssd,1 069,12.28,2,*
1,komunistická str.čech a moravy,5,kurfürst jiří, ,49,ksčm,bezpp,670,11.10,3, 
11,unie svobody-demokratická unie,2,kvapil vladislav,mgr. ,41,us-deu,us-deu,551,19.25, , 
1,komunistická str.čech a moravy,8,lebedová aloisie,paeddr. ,69,ksčm,ksčm,631,10.46,6, 
11,unie svobody-demokratická unie,1,libíček zdeněk,phdr. ,52,us-deu,us-deu,485,16.94, , 
6,nezávislí,1,libíčková jana,phdr. ,53,nez,bezpp,369,18.69, , 
10,křesť.demokr.unie-čs.str.lid.,9,loučka martin,mgr. ,29,kdu-čsl,bezpp,421,9.06,8, 
4,naděje a hnutí obč. sebeobr.,8,ludková jarmila, ,56,nk,bezpp,220,8.64, , 
